Lista de Movimientos.

Normal:

Basicos:

- Combo 1:   a
- Combo 2:   b
- Combo 3:   c

- Air Combo:   a,b or c

Specials

- Garoga                                 = D,DF,F,a
- Katon Jutsu                            = D,DB,B,a
- Bijuu Dama                             = D,DF,F,b 
- Nezumi Byoka                           = D,DB,B,a
- Claw Deeps                             = D,DF,F,c
- Renzoku Neko Hibachi                   = D,DB,B,c                  















